NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,$983,06/21/2019,"Saturday, October 5, 2019",8.5
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,$999,06/21/2019,"Tuesday, October 1, 2019",7
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,$980,06/21/2019,"Tuesday, October 1, 2019",10.5
adidas Yeezy Boost 350 V2 Synth (Reflective),SYNTH/SYNTH/SYNTH,184,$220,"$1,251",06/21/2019,"Tuesday, October 1, 2019",4.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$320,08/24/2019,"Monday, October 14, 2019",6.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$232,08/24/2019,"Monday, October 14, 2019",9.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$199,08/24/2019,"Monday, October 14, 2019",12
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$400,08/24/2019,"Monday, October 14, 2019",5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$380,08/24/2019,"Monday, October 14, 2019",4.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$385,08/24/2019,"Monday, October 14, 2019",5.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$189,08/24/2019,"Monday, October 14, 2019",11.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$363,08/24/2019,"Monday, October 14, 2019",4.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$379,08/24/2019,"Monday, October 14, 2019",4.5
adidas Yeezy 500 Bone White,BONE WHITE/BONE WHITE/BONE WHITE,13589,$200,$195,08/24/2019,"Monday, October 14, 2019",11
